Location,Rainfall (mm),Depth_to_Water_Level (m),Seasonal_Fluctuation (m),Soil_Type,Rock_Type,Aquifer_Type,Required_Bore_Depth (m)
Rangareddy,1093.85,6.57,1.78,Loamy,Granite,Unconfined,11.09
Mahabubnagar,1234.47,8.74,1.55,Laterite,Granite,Unconfined,12.59
Adilabad,1075.02,3.28,1.91,Laterite,Basalt,Unconfined,6.37
Karimnagar,1256.61,7.59,3.84,Loamy,Schist,Unconfined,14.35
Khammam,1642.84,7.88,2.39,Laterite,Quartzite,Semi-confined,12.65
Khammam,1615.59,9.13,4.7,Red Sandy,Granite,Semi-confined,14.89
Hyderabad,1196.5,8.03,2.95,Red Sandy,Granite,Semi-confined,13.32
Hyderabad,1176.15,6.63,3.53,Laterite,Quartzite,Confined,12.9
Hyderabad,1197.37,8.18,1.52,Red Sandy,Schist,Unconfined,11.41
Khammam,1574.21,7.52,3.65,Black Cotton,Quartzite,Unconfined,12.54
Medak,1209.03,16.52,1.93,Loamy,Schist,Confined,21.4
Adilabad,1095.07,3.17,2.56,Laterite,Schist,Confined,7.85
Nalgonda,1022.94,6.42,2.66,Black Cotton,Schist,Semi-confined,10.83
Karimnagar,1229.14,8.34,3.41,Red Sandy,Schist,Unconfined,14.34
Hyderabad,1165.69,7.59,2.24,Black Cotton,Granite,Confined,12.48
Karimnagar,1220.22,9.36,1.69,Loamy,Schist,Confined,12.24
Nizamabad,1162.63,7.4,1.66,Black Cotton,Basalt,Confined,11.07
Warangal,1772.02,9.24,1.56,Red Sandy,Granite,Semi-confined,12.06
Rangareddy,1097.62,7.69,3.22,Black Cotton,Quartzite,Confined,12.64
Medak,1182.66,16.63,1.69,Loamy,Basalt,Unconfined,19.81
Warangal,1826.52,7.04,3.16,Black Cotton,Granite,Semi-confined,11.59
Hyderabad,1232.97,7.63,4.59,Black Cotton,Quartzite,Unconfined,13.55
Khammam,1630.69,7.35,3.59,Red Sandy,Schist,Confined,13.25
Khammam,1587.04,7.69,3.12,Black Cotton,Granite,Unconfined,12.94
Hyderabad,1219.08,8.75,4.9,Red Sandy,Basalt,Confined,15.88
Nizamabad,1164.01,8.48,4.33,Black Cotton,Granite,Unconfined,15.04
Warangal,1771.35,7.64,2.06,Red Sandy,Schist,Confined,11.68
Khammam,1602.9,8.83,4.31,Black Cotton,Quartzite,Confined,15.79
Hyderabad,1189.17,7.47,4.01,Laterite,Basalt,Unconfined,14.2
Mahabubnagar,1212.68,7.31,4.38,Black Cotton,Granite,Unconfined,13.13
Adilabad,1050.04,4.88,3.81,Laterite,Schist,Unconfined,11.02
Nalgonda,981.32,6.72,1.59,Black Cotton,Granite,Unconfined,9.7
Mahabubnagar,1181.7,6.93,4.44,Black Cotton,Basalt,Confined,13.28
Medak,1154.61,17.1,4.05,Black Cotton,Schist,Unconfined,23.53
Nizamabad,1145.58,6.83,3.31,Red Sandy,Granite,Confined,11.71
Khammam,1651.98,8.51,4.82,Red Sandy,Granite,Confined,15.42
Adilabad,1093.39,5.25,1.99,Red Sandy,Basalt,Unconfined,9.73
Adilabad,1060.21,2.84,3.53,Laterite,Granite,Unconfined,9.01
Rangareddy,1086.57,8.33,3.8,Loamy,Quartzite,Semi-confined,14.57
Rangareddy,1134.19,7.18,1.71,Black Cotton,Quartzite,Semi-confined,11.57
Khammam,1558.82,7.82,2.59,Loamy,Granite,Semi-confined,11.73
Hyderabad,1207.83,8.12,3.15,Laterite,Quartzite,Semi-confined,13.92
Mahabubnagar,1219.91,7.54,3.41,Black Cotton,Quartzite,Semi-confined,12.96
Mahabubnagar,1195.68,7.07,4.58,Red Sandy,Quartzite,Confined,14.21
Adilabad,1067.05,3.82,3.89,Laterite,Basalt,Unconfined,9.85
Karimnagar,1236.51,7.66,3.42,Loamy,Quartzite,Unconfined,13.5
Hyderabad,1206.97,8.41,2.29,Red Sandy,Granite,Semi-confined,13.11
Mahabubnagar,1276.72,7.54,2.82,Laterite,Basalt,Confined,12.02
Warangal,1742.03,7.74,4.96,Loamy,Basalt,Semi-confined,15.55
Nizamabad,1116.33,7.48,4.04,Red Sandy,Granite,Confined,12.64
Khammam,1622.08,7.2,4.72,Loamy,Basalt,Confined,14.11
Karimnagar,1229.5,6.99,3.42,Black Cotton,Quartzite,Confined,11.8
Nalgonda,1008.52,7.06,4.87,Red Sandy,Schist,Semi-confined,13.16
Adilabad,1119.59,5.29,3.08,Laterite,Granite,Unconfined,10.64
Rangareddy,1099.71,9.25,4.88,Red Sandy,Basalt,Semi-confined,16.89
Hyderabad,1235.4,6.5,3.67,Laterite,Granite,Unconfined,12.79
Medak,1253.21,16.31,4.9,Red Sandy,Schist,Semi-confined,22.49
Mahabubnagar,1258.53,9.18,4.08,Red Sandy,Basalt,Confined,14.77
Warangal,1764.12,7.9,4.63,Laterite,Basalt,Confined,14.08
Rangareddy,1120.96,7.58,1.83,Laterite,Basalt,Unconfined,11.23
Adilabad,1059.63,5.39,2.13,Red Sandy,Schist,Semi-confined,8.52
Adilabad,1138.37,4.94,2.17,Laterite,Granite,Semi-confined,8.73
Hyderabad,1183.0,6.64,2.27,Black Cotton,Granite,Unconfined,10.68
Warangal,1797.77,9.02,4.55,Loamy,Granite,Unconfined,14.87
Hyderabad,1237.69,8.15,3.58,Black Cotton,Quartzite,Unconfined,14.07
Medak,1163.83,15.92,4.35,Loamy,Schist,Confined,22.7
Karimnagar,1239.93,8.62,2.92,Loamy,Schist,Confined,13.89
Rangareddy,1118.09,7.21,4.19,Laterite,Basalt,Unconfined,14.24
Rangareddy,1141.47,7.16,3.83,Laterite,Granite,Unconfined,12.05
Nalgonda,978.88,9.36,4.83,Laterite,Quartzite,Semi-confined,16.39
Hyderabad,1169.65,7.06,4.18,Black Cotton,Granite,Confined,13.72
Adilabad,1041.52,4.56,4.23,Red Sandy,Quartzite,Semi-confined,11.18
Karimnagar,1252.21,6.96,4.04,Black Cotton,Basalt,Confined,13.97
Rangareddy,1135.76,8.05,2.36,Loamy,Quartzite,Confined,12.91
Hyderabad,1180.02,8.41,1.57,Red Sandy,Quartzite,Semi-confined,11.14
Warangal,1816.48,7.14,4.2,Black Cotton,Granite,Unconfined,12.5
Hyderabad,1183.86,8.08,2.95,Loamy,Basalt,Confined,12.75
Mahabubnagar,1203.77,6.87,2.96,Black Cotton,Basalt,Semi-confined,12.74
Medak,1239.27,16.59,2.54,Black Cotton,Basalt,Confined,20.99
Khammam,1614.24,8.15,4.8,Black Cotton,Granite,Unconfined,14.97
Medak,1158.6,14.85,2.98,Loamy,Basalt,Semi-confined,20.02
Medak,1209.78,16.18,3.01,Red Sandy,Quartzite,Semi-confined,21.66
Medak,1234.73,15.06,4.88,Red Sandy,Schist,Confined,22.14
Warangal,1774.06,7.29,4.14,Red Sandy,Quartzite,Confined,12.86
Khammam,1603.09,9.33,4.75,Black Cotton,Granite,Confined,16.42
Adilabad,1054.44,4.47,3.0,Loamy,Basalt,Confined,8.73
Karimnagar,1233.79,7.46,4.68,Laterite,Schist,Confined,14.53
Mahabubnagar,1215.7,9.03,4.3,Black Cotton,Basalt,Unconfined,16.17
Medak,1248.63,14.78,1.64,Loamy,Basalt,Unconfined,19.02
Karimnagar,1227.89,6.58,2.03,Loamy,Basalt,Confined,10.26
Mahabubnagar,1232.7,6.78,4.99,Laterite,Granite,Semi-confined,13.36
Karimnagar,1252.14,7.58,4.49,Loamy,Basalt,Confined,14.8
Karimnagar,1221.64,7.02,4.45,Red Sandy,Quartzite,Unconfined,14.13
Warangal,1769.26,7.99,4.16,Laterite,Quartzite,Confined,14.26
Hyderabad,1152.68,8.94,2.65,Black Cotton,Schist,Confined,13.29
Nizamabad,1158.56,8.73,3.46,Loamy,Basalt,Unconfined,15.07
Medak,1170.73,14.49,1.9,Loamy,Schist,Unconfined,17.68
Khammam,1585.83,8.64,2.94,Loamy,Quartzite,Unconfined,13.85
Nalgonda,975.74,9.32,3.66,Laterite,Granite,Semi-confined,13.99
Warangal,1738.5,8.18,1.88,Red Sandy,Basalt,Unconfined,12.03
Adilabad,1077.11,3.9,4.82,Laterite,Granite,Confined,11.64
Rangareddy,1155.6,8.46,2.48,Red Sandy,Schist,Confined,12.55
Nizamabad,1081.25,6.92,3.52,Red Sandy,Basalt,Semi-confined,12.3
Hyderabad,1185.67,9.19,4.32,Loamy,Schist,Semi-confined,16.33
Medak,1222.59,14.53,1.84,Loamy,Schist,Confined,18.71
Nizamabad,1166.45,7.39,4.22,Red Sandy,Schist,Confined,13.76
Hyderabad,1205.89,6.75,4.65,Loamy,Quartzite,Unconfined,12.5
Nizamabad,1071.62,6.5,2.58,Red Sandy,Granite,Unconfined,10.9
Rangareddy,1068.55,8.12,3.72,Black Cotton,Granite,Confined,13.41
Rangareddy,1061.01,7.95,3.22,Loamy,Schist,Confined,14.14
Hyderabad,1217.0,7.47,2.92,Black Cotton,Schist,Unconfined,12.4
Medak,1223.5,14.6,2.99,Laterite,Granite,Confined,19.36
Adilabad,1050.6,5.41,2.97,Laterite,Basalt,Semi-confined,11.08
Adilabad,1107.14,3.39,4.32,Loamy,Quartzite,Confined,8.89
Karimnagar,1221.91,8.63,3.08,Red Sandy,Quartzite,Confined,13.35
Karimnagar,1252.33,7.9,1.57,Laterite,Basalt,Confined,12.38
Adilabad,1079.57,4.95,2.73,Black Cotton,Granite,Confined,10.1
Warangal,1793.71,9.1,3.68,Loamy,Schist,Semi-confined,15.15
Adilabad,1066.79,4.78,3.53,Loamy,Granite,Confined,10.73
Adilabad,1044.72,2.94,3.69,Laterite,Quartzite,Confined,7.9
Hyderabad,1208.93,6.6,3.21,Loamy,Granite,Confined,11.66
Karimnagar,1263.38,7.34,1.72,Loamy,Granite,Semi-confined,10.08
Adilabad,1110.77,3.49,3.32,Black Cotton,Quartzite,Confined,8.69
Nalgonda,958.49,7.66,4.61,Black Cotton,Quartzite,Semi-confined,14.34
Nalgonda,931.82,8.35,1.9,Black Cotton,Basalt,Unconfined,12.12
Rangareddy,1152.91,8.73,2.83,Red Sandy,Basalt,Confined,12.84
Adilabad,1080.2,2.78,4.39,Black Cotton,Quartzite,Semi-confined,8.94
Khammam,1561.29,7.18,2.82,Loamy,Quartzite,Confined,11.89
Nalgonda,956.17,7.73,4.44,Red Sandy,Granite,Confined,13.55
Rangareddy,1091.26,8.2,4.62,Loamy,Quartzite,Confined,15.53
Hyderabad,1147.06,7.58,2.86,Red Sandy,Basalt,Unconfined,12.22
Warangal,1824.46,7.56,2.23,Black Cotton,Basalt,Unconfined,12.74
Nizamabad,1120.47,7.2,1.86,Loamy,Schist,Confined,11.76
Medak,1217.34,14.36,4.26,Loamy,Basalt,Confined,19.71
Warangal,1764.74,7.22,4.63,Loamy,Schist,Unconfined,14.26
Warangal,1784.17,7.85,3.25,Loamy,Quartzite,Confined,12.85
Warangal,1815.37,6.84,2.94,Loamy,Granite,Confined,11.25
Mahabubnagar,1253.95,7.71,3.28,Loamy,Basalt,Unconfined,12.44
Hyderabad,1165.03,7.26,3.68,Red Sandy,Granite,Unconfined,13.63
Adilabad,1108.01,4.07,4.15,Black Cotton,Granite,Confined,10.08
Adilabad,1120.48,4.53,3.21,Red Sandy,Granite,Unconfined,10.73
Mahabubnagar,1266.13,9.34,4.43,Loamy,Schist,Semi-confined,15.15
Hyderabad,1218.68,6.47,4.1,Red Sandy,Basalt,Confined,13.11
Rangareddy,1074.77,7.97,4.29,Laterite,Basalt,Confined,13.66
Rangareddy,1098.7,7.76,1.84,Loamy,Quartzite,Semi-confined,10.91
Medak,1227.42,15.07,2.58,Laterite,Quartzite,Confined,20.51
Warangal,1752.65,6.93,4.71,Red Sandy,Quartzite,Semi-confined,14.16
Khammam,1592.37,8.03,1.51,Loamy,Granite,Unconfined,11.93
Nizamabad,1128.05,6.6,1.94,Black Cotton,Basalt,Semi-confined,9.63
Nizamabad,1146.81,6.74,4.0,Red Sandy,Quartzite,Semi-confined,12.22
Rangareddy,1150.02,8.67,4.52,Red Sandy,Quartzite,Semi-confined,14.52
Karimnagar,1213.51,7.5,2.69,Laterite,Basalt,Unconfined,12.99
Nizamabad,1086.19,7.63,2.75,Red Sandy,Schist,Unconfined,11.85
Karimnagar,1203.11,8.19,4.92,Red Sandy,Basalt,Unconfined,14.94
Khammam,1556.29,8.9,2.61,Laterite,Granite,Unconfined,14.23
Medak,1248.86,16.79,2.77,Laterite,Quartzite,Confined,21.98
Hyderabad,1239.73,7.46,1.62,Loamy,Granite,Semi-confined,11.26
Rangareddy,1141.99,8.37,3.81,Red Sandy,Basalt,Unconfined,14.11
Medak,1244.66,16.5,2.97,Laterite,Quartzite,Unconfined,21.89
Warangal,1749.18,9.25,1.67,Black Cotton,Schist,Unconfined,13.22
Warangal,1740.65,6.45,3.55,Loamy,Granite,Confined,12.49
Adilabad,1114.6,4.84,2.69,Red Sandy,Schist,Semi-confined,9.08
Medak,1198.77,15.24,3.89,Black Cotton,Granite,Unconfined,21.25
Nizamabad,1100.83,9.28,2.19,Laterite,Schist,Unconfined,13.25
Warangal,1780.83,8.61,3.08,Red Sandy,Basalt,Unconfined,14.56
Rangareddy,1110.08,9.03,2.47,Black Cotton,Granite,Unconfined,13.53
Rangareddy,1115.72,8.64,3.09,Loamy,Schist,Unconfined,14.11
Nalgonda,1007.59,7.2,4.27,Red Sandy,Basalt,Confined,13.96
Adilabad,1111.0,5.56,2.85,Laterite,Quartzite,Semi-confined,9.9
Rangareddy,1127.01,8.92,2.7,Laterite,Schist,Unconfined,12.87
Mahabubnagar,1220.69,8.05,3.61,Black Cotton,Granite,Unconfined,13.53
Rangareddy,1143.91,6.94,2.6,Laterite,Granite,Semi-confined,10.54
Karimnagar,1253.39,7.56,4.52,Laterite,Granite,Semi-confined,14.31
Khammam,1642.93,7.63,3.72,Loamy,Schist,Semi-confined,13.7
Adilabad,1084.32,5.6,3.89,Laterite,Basalt,Unconfined,10.75
Karimnagar,1293.13,6.98,3.92,Black Cotton,Quartzite,Unconfined,13.09
Medak,1224.24,15.82,3.7,Loamy,Schist,Semi-confined,22.21
Adilabad,1088.02,4.69,2.86,Red Sandy,Granite,Unconfined,9.41
Adilabad,1068.32,3.92,4.4,Red Sandy,Quartzite,Unconfined,9.62
Nalgonda,1000.51,6.88,4.41,Black Cotton,Granite,Unconfined,13.35
Hyderabad,1156.0,6.58,2.39,Loamy,Granite,Semi-confined,11.21
Nizamabad,1087.18,8.96,2.7,Laterite,Basalt,Confined,13.86
Nizamabad,1099.57,7.87,4.87,Laterite,Basalt,Confined,14.16
Warangal,1740.0,9.1,3.27,Loamy,Granite,Semi-confined,14.1
Rangareddy,1102.98,8.03,2.55,Loamy,Schist,Semi-confined,13.37
Warangal,1791.91,7.25,4.93,Laterite,Quartzite,Unconfined,14.12
Khammam,1570.27,8.33,1.68,Red Sandy,Quartzite,Confined,12.31
Warangal,1786.01,6.77,4.19,Laterite,Granite,Unconfined,12.61
Mahabubnagar,1271.47,6.96,2.41,Red Sandy,Granite,Confined,11.11
Medak,1249.7,16.08,2.15,Loamy,Granite,Unconfined,19.49
Karimnagar,1216.2,8.08,2.99,Black Cotton,Basalt,Semi-confined,12.13
Rangareddy,1100.27,8.96,3.78,Black Cotton,Quartzite,Unconfined,14.91
Hyderabad,1145.5,7.14,2.29,Black Cotton,Quartzite,Unconfined,10.69
Warangal,1760.7,7.45,2.23,Black Cotton,Schist,Semi-confined,12.11
Medak,1191.23,16.7,3.06,Laterite,Granite,Unconfined,21.5
Rangareddy,1069.19,7.01,2.03,Black Cotton,Schist,Semi-confined,10.29
Nizamabad,1144.74,9.19,2.61,Laterite,Basalt,Confined,13.86
Hyderabad,1213.1,9.31,4.79,Laterite,Basalt,Semi-confined,16.09
Nalgonda,960.38,7.14,3.18,Loamy,Quartzite,Confined,11.51
Khammam,1648.54,7.12,2.46,Laterite,Basalt,Unconfined,10.62
Adilabad,1061.62,2.62,4.37,Loamy,Schist,Unconfined,8.01
Adilabad,1138.64,4.5,2.4,Loamy,Quartzite,Confined,9.88
Karimnagar,1238.1,9.0,4.83,Loamy,Quartzite,Unconfined,16.34
Nizamabad,1075.27,6.6,4.89,Loamy,Quartzite,Unconfined,13.25
Hyderabad,1194.85,8.58,4.25,Black Cotton,Schist,Confined,14.76
Karimnagar,1242.09,8.68,3.24,Black Cotton,Schist,Unconfined,13.93
Adilabad,1046.58,5.2,4.81,Red Sandy,Granite,Unconfined,12.1
Medak,1191.08,14.7,2.12,Loamy,Schist,Confined,18.51
Khammam,1614.25,7.0,4.23,Laterite,Granite,Unconfined,13.95
Hyderabad,1175.04,8.68,3.65,Loamy,Basalt,Semi-confined,14.61
Hyderabad,1230.89,6.91,2.21,Loamy,Basalt,Confined,10.56
Mahabubnagar,1193.73,6.67,4.79,Laterite,Granite,Confined,14.03
Mahabubnagar,1236.46,9.1,2.86,Red Sandy,Basalt,Confined,13.3
Rangareddy,1143.25,6.79,1.99,Red Sandy,Basalt,Semi-confined,9.88
Hyderabad,1240.69,7.86,1.96,Laterite,Quartzite,Semi-confined,11.88
Hyderabad,1220.13,8.18,4.64,Laterite,Quartzite,Unconfined,14.68
Warangal,1787.83,8.76,2.46,Black Cotton,Basalt,Unconfined,12.36
Karimnagar,1245.51,8.72,3.01,Red Sandy,Quartzite,Unconfined,12.81
Warangal,1782.63,8.07,2.76,Black Cotton,Granite,Semi-confined,12.28
Warangal,1817.29,8.35,3.5,Loamy,Granite,Unconfined,14.56
Warangal,1750.71,6.63,4.01,Loamy,Schist,Semi-confined,13.13
Warangal,1790.05,9.12,3.54,Red Sandy,Granite,Semi-confined,13.99
Mahabubnagar,1231.07,6.45,4.47,Red Sandy,Schist,Confined,12.31
Khammam,1597.03,8.07,3.89,Red Sandy,Basalt,Unconfined,13.05
Nalgonda,987.48,7.94,2.6,Laterite,Granite,Confined,11.83
Hyderabad,1211.39,7.88,4.84,Laterite,Quartzite,Semi-confined,14.93
Khammam,1633.16,8.24,2.58,Red Sandy,Granite,Semi-confined,12.78
Nalgonda,952.5,6.82,3.1,Loamy,Granite,Semi-confined,11.96
Warangal,1829.03,8.91,2.77,Red Sandy,Basalt,Confined,13.89
Medak,1178.8,15.91,2.05,Red Sandy,Basalt,Confined,19.46
Khammam,1653.99,7.01,3.69,Laterite,Quartzite,Semi-confined,13.31
Medak,1194.8,15.44,3.16,Loamy,Basalt,Unconfined,20.48
Hyderabad,1230.42,8.45,2.15,Black Cotton,Quartzite,Unconfined,13.5
Adilabad,1041.24,2.9,1.56,Black Cotton,Granite,Unconfined,6.29
Medak,1180.4,16.26,2.0,Black Cotton,Quartzite,Semi-confined,20.39
Hyderabad,1162.06,6.45,2.94,Red Sandy,Quartzite,Unconfined,12.11
Rangareddy,1156.62,9.07,3.13,Loamy,Granite,Confined,13.45
Khammam,1633.32,8.43,1.95,Black Cotton,Granite,Unconfined,12.13
Medak,1196.84,15.42,4.48,Red Sandy,Granite,Semi-confined,21.07
Warangal,1812.81,8.95,2.38,Laterite,Basalt,Unconfined,12.62
Medak,1198.38,16.08,2.7,Red Sandy,Granite,Semi-confined,20.87
Rangareddy,1152.16,7.41,2.86,Laterite,Quartzite,Confined,13.24
Hyderabad,1203.08,6.68,4.57,Black Cotton,Basalt,Semi-confined,13.13
Warangal,1814.27,7.06,3.42,Laterite,Granite,Semi-confined,11.67
Hyderabad,1162.69,6.5,4.82,Loamy,Basalt,Semi-confined,13.26
Nalgonda,977.18,7.83,1.51,Red Sandy,Granite,Confined,10.35
Warangal,1734.41,6.74,4.3,Laterite,Basalt,Confined,12.17
Nalgonda,1015.92,8.25,3.31,Red Sandy,Basalt,Confined,14.07
Nizamabad,1142.63,8.24,4.63,Laterite,Schist,Semi-confined,14.99
Nalgonda,964.55,6.81,2.51,Loamy,Basalt,Unconfined,10.41
Karimnagar,1251.53,6.85,1.57,Laterite,Granite,Semi-confined,9.57
Khammam,1594.43,7.63,4.81,Loamy,Granite,Confined,14.85
Karimnagar,1288.02,8.93,4.1,Loamy,Quartzite,Unconfined,14.83
Warangal,1816.75,6.71,1.8,Black Cotton,Quartzite,Confined,10.04
Rangareddy,1087.59,9.14,4.12,Laterite,Granite,Confined,14.86
Nizamabad,1084.87,8.82,3.3,Red Sandy,Basalt,Unconfined,14.5
Warangal,1757.28,9.37,1.62,Loamy,Granite,Unconfined,13.82
Karimnagar,1225.84,7.89,2.51,Black Cotton,Basalt,Semi-confined,12.73
Nizamabad,1095.46,6.44,2.77,Laterite,Quartzite,Confined,10.22
Adilabad,1126.45,4.77,4.83,Loamy,Basalt,Semi-confined,11.22
Rangareddy,1133.4,8.73,2.09,Loamy,Basalt,Semi-confined,12.36
Nalgonda,962.44,6.5,3.43,Black Cotton,Quartzite,Confined,11.34
Warangal,1805.55,8.17,1.79,Black Cotton,Basalt,Confined,12.26
Khammam,1629.04,8.92,4.14,Laterite,Granite,Unconfined,14.88
Adilabad,1054.78,4.47,4.68,Red Sandy,Basalt,Semi-confined,12.06
Nalgonda,962.16,6.98,4.29,Loamy,Basalt,Semi-confined,12.83
Warangal,1788.3,7.23,2.23,Red Sandy,Quartzite,Semi-confined,11.25
Nalgonda,953.21,7.84,4.82,Laterite,Basalt,Semi-confined,13.95
Khammam,1616.64,7.96,2.0,Loamy,Quartzite,Confined,12.39
Nizamabad,1144.06,8.25,4.45,Red Sandy,Basalt,Semi-confined,14.65
Mahabubnagar,1238.09,7.2,2.42,Laterite,Schist,Semi-confined,11.59
Karimnagar,1290.28,7.15,2.57,Black Cotton,Schist,Semi-confined,11.35
Rangareddy,1124.45,7.5,4.19,Loamy,Granite,Confined,13.51
Medak,1211.95,17.28,3.73,Red Sandy,Granite,Semi-confined,22.32
Nalgonda,979.07,8.76,3.71,Red Sandy,Schist,Semi-confined,14.96
Rangareddy,1133.13,8.73,3.65,Laterite,Granite,Semi-confined,14.41
Nalgonda,1001.46,9.06,1.69,Laterite,Basalt,Confined,13.7
Hyderabad,1242.61,6.54,1.6,Laterite,Quartzite,Confined,11.0
Adilabad,1130.64,4.5,4.29,Loamy,Basalt,Semi-confined,10.85
Rangareddy,1129.37,6.52,3.62,Red Sandy,Basalt,Confined,12.95
Adilabad,1053.52,3.76,4.23,Loamy,Granite,Confined,9.02
Khammam,1601.5,7.99,1.53,Red Sandy,Schist,Semi-confined,12.51
Hyderabad,1215.73,7.5,4.62,Laterite,Basalt,Semi-confined,13.6
Adilabad,1072.3,3.3,3.93,Loamy,Schist,Semi-confined,8.74
Khammam,1558.61,8.82,3.93,Laterite,Basalt,Unconfined,15.1
Nalgonda,994.46,8.69,2.16,Red Sandy,Quartzite,Confined,13.15
Rangareddy,1096.5,6.69,2.19,Black Cotton,Schist,Confined,11.83
Karimnagar,1219.91,7.41,2.83,Red Sandy,Schist,Confined,12.11
Hyderabad,1162.99,8.73,2.53,Laterite,Quartzite,Confined,12.8
Medak,1253.62,16.23,1.92,Red Sandy,Quartzite,Unconfined,20.39
Warangal,1797.8,8.38,4.73,Laterite,Basalt,Confined,15.23
Nalgonda,946.93,8.77,2.14,Red Sandy,Basalt,Unconfined,13.67
Nalgonda,968.23,7.15,4.95,Red Sandy,Basalt,Confined,14.92
Khammam,1620.36,6.55,3.13,Red Sandy,Basalt,Unconfined,10.94
Medak,1203.19,15.36,4.48,Red Sandy,Quartzite,Semi-confined,20.87
Nalgonda,984.92,7.9,2.63,Loamy,Basalt,Unconfined,13.16
Adilabad,1128.51,4.72,4.13,Loamy,Basalt,Confined,11.31
Nizamabad,1155.66,8.63,2.9,Red Sandy,Granite,Confined,13.12
Rangareddy,1093.69,7.9,2.07,Black Cotton,Basalt,Semi-confined,11.73
Warangal,1790.89,6.63,3.31,Loamy,Granite,Semi-confined,12.43
Nalgonda,986.69,6.58,4.35,Red Sandy,Schist,Confined,13.11
Medak,1241.5,16.13,3.14,Red Sandy,Granite,Unconfined,21.06
Medak,1240.88,14.82,2.61,Loamy,Quartzite,Unconfined,18.59
Nizamabad,1129.57,7.85,4.98,Black Cotton,Basalt,Semi-confined,14.89
Hyderabad,1180.22,6.43,4.67,Loamy,Basalt,Semi-confined,13.73
Mahabubnagar,1243.35,9.1,2.37,Black Cotton,Granite,Semi-confined,13.5
Rangareddy,1159.8,6.65,2.46,Red Sandy,Basalt,Confined,10.11
Rangareddy,1075.43,9.09,4.03,Black Cotton,Granite,Semi-confined,14.85
Nalgonda,970.7,7.89,4.55,Loamy,Quartzite,Unconfined,13.81
Khammam,1616.49,7.83,1.91,Laterite,Schist,Semi-confined,11.13
Medak,1178.93,16.77,3.61,Black Cotton,Quartzite,Unconfined,21.99
Khammam,1644.72,9.3,3.46,Black Cotton,Schist,Semi-confined,15.27
Adilabad,1102.99,4.03,3.36,Black Cotton,Granite,Confined,8.68
Khammam,1647.41,7.1,4.25,Red Sandy,Granite,Confined,13.23
Warangal,1754.84,8.37,1.75,Loamy,Granite,Semi-confined,12.84
Nalgonda,948.93,6.61,4.4,Laterite,Quartzite,Confined,12.71
Rangareddy,1107.62,8.8,3.2,Loamy,Schist,Semi-confined,13.1
Warangal,1763.32,8.67,2.44,Red Sandy,Quartzite,Unconfined,13.17
Nalgonda,1013.05,7.57,2.52,Red Sandy,Quartzite,Confined,12.13
Khammam,1557.23,7.73,4.24,Loamy,Schist,Semi-confined,14.05
Nizamabad,1157.34,7.0,4.31,Black Cotton,Schist,Unconfined,12.63
Nalgonda,936.58,8.32,4.87,Loamy,Granite,Confined,15.4
Warangal,1746.51,6.41,3.26,Black Cotton,Basalt,Semi-confined,11.06
Adilabad,1048.07,3.41,2.21,Loamy,Quartzite,Unconfined,7.96
Adilabad,1105.79,4.83,2.06,Red Sandy,Quartzite,Unconfined,9.32
Karimnagar,1219.47,8.78,1.81,Loamy,Basalt,Semi-confined,13.14
Nizamabad,1087.41,6.51,4.98,Black Cotton,Granite,Confined,13.78
Khammam,1561.67,9.37,2.91,Red Sandy,Granite,Semi-confined,13.34
Hyderabad,1157.85,7.56,2.93,Loamy,Basalt,Confined,13.02
Nalgonda,1008.32,6.99,2.61,Laterite,Quartzite,Semi-confined,11.66
Mahabubnagar,1206.21,7.8,2.18,Red Sandy,Basalt,Semi-confined,11.37
Khammam,1636.34,9.12,4.21,Red Sandy,Schist,Confined,15.73
Hyderabad,1231.94,8.86,1.62,Laterite,Granite,Confined,12.17
Adilabad,1066.41,5.36,4.51,Red Sandy,Schist,Confined,11.79
Warangal,1736.88,9.24,1.75,Red Sandy,Granite,Confined,13.91
Warangal,1828.8,9.2,1.88,Black Cotton,Quartzite,Semi-confined,14.04
Medak,1184.69,15.0,3.21,Black Cotton,Basalt,Confined,19.93
Nizamabad,1096.89,8.41,2.48,Black Cotton,Quartzite,Unconfined,13.08
Warangal,1757.78,7.0,2.63,Loamy,Basalt,Unconfined,10.74
Mahabubnagar,1241.85,9.14,3.16,Black Cotton,Quartzite,Confined,13.59
Warangal,1788.68,7.78,3.28,Laterite,Basalt,Unconfined,13.71
Rangareddy,1067.84,8.88,1.88,Loamy,Granite,Confined,13.14
Karimnagar,1265.73,8.96,1.79,Red Sandy,Basalt,Confined,13.21
Medak,1233.22,16.91,3.69,Red Sandy,Basalt,Semi-confined,22.21
Rangareddy,1064.08,7.87,2.65,Loamy,Schist,Confined,13.37
Medak,1240.68,15.6,3.79,Black Cotton,Quartzite,Unconfined,21.83
Khammam,1611.88,9.11,3.33,Laterite,Granite,Confined,13.9
Rangareddy,1065.77,6.99,2.77,Loamy,Basalt,Unconfined,12.71
Hyderabad,1217.06,8.54,1.59,Red Sandy,Granite,Confined,12.71
Rangareddy,1106.45,7.02,4.19,Black Cotton,Schist,Semi-confined,12.89
Mahabubnagar,1231.67,7.66,1.88,Black Cotton,Schist,Unconfined,11.38
Mahabubnagar,1206.83,8.12,2.25,Loamy,Schist,Confined,13.1
